lineNum, count
1,3
2,54
3,111
4,48
5,20
6,76
7,51
8,42
9,118
10,299
11,140
12,170
13,63
14,178
15,138
16,68
17,14
18,77
19,40
20,90
21,51
22,88
23,69
24,64
25,62
26,82
27,28
28,104
29,103
30,54
31,155
32,61
33,68
34,82
35,34
36,133
37,95
38,113
39,101
40,65
41,106
42,42
43,87
44,136
45,46
46,49
47,7
48,161
49,35
50,29
51,53
52,84
53,32
54,121
55,46
56,82
57,40
58,29
59,88
60,211
61,141
62,44
63,45
64,40
65,45
66,97
67,15
68,53
69,61
70,68
71,97
72,22
73,151
74,127
75,76
76,52
77,50
78,38
79,95
80,143
81,71
82,95
83,35
84,48
85,38
86,9
87,8
88,59
89,17
90,74
91,81
92,22
93,50
94,244
95,105
96,57
97,16
98,43
99,29
100,22
101,17
102,16
103,92
104,56
105,126
106,70
107,88
108,38
109,73
110,79
111,45
112,74
113,66
114,222
115,26
116,154
117,124
118,71
119,38
120,27
121,92
122,17
123,49
124,60
125,61
126,79
127,156
128,79
129,73
130,49
131,132
132,44
133,79
134,79
135,300
136,97
137,8
138,57
139,20
140,55
141,87
142,72
143,48
144,206
145,19
146,40
147,94
148,86
149,120
150,9
151,175
152,132
153,74
154,76
155,142
156,23
157,77
158,19
159,69
160,94
161,246
162,82
163,67
164,87
165,72
166,73
167,51
168,60
169,69
170,22
171,59
172,14
173,62
174,99
175,143
176,60
177,85
178,53
179,68
180,69
181,30
182,17
183,33
184,10
185,38
186,66
187,68
188,93
189,131
190,103
191,93
192,70
193,67
194,93
195,68
196,44
197,78
198,79
199,67
200,112
201,61
202,41
203,110
204,57
205,31
206,33
207,28
208,103
209,51
210,15
211,130
212,32
213,69
214,48
215,82
216,103
217,49
218,67
219,59
220,111
221,114
222,80
223,57
224,84
225,146
226,45
227,110
228,131
229,60
230,147
231,77
232,21
233,77
234,52
235,38
236,10
237,200
238,93
239,171
240,6
241,16
242,130
243,89
244,42
245,62
246,60
247,192
248,62
249,24
250,29
251,130
252,56
253,20
254,179
255,95
256,157
257,150
258,103
259,35
260,46
261,137
262,87
263,107
264,66
265,13
266,28
267,74
268,22
269,132
270,37
271,300
272,94
273,43
274,86
275,46
276,14
277,76
278,54
279,52
280,173
281,83
282,36
283,138
284,120
285,103
286,48
287,8
288,39
289,82
290,235
291,63
292,60
293,77
294,48
295,112
296,134
297,103
298,111
299,67
300,46
301,100
302,64
303,101
304,28
305,174
306,66
307,99
308,99
309,52
310,300
311,289
312,116
313,47
314,27
315,97
316,212
317,56
318,67
319,66
320,83
321,60
322,102
323,81
324,122
325,93
326,34
327,81
328,21
329,52
330,41
331,67
332,50
333,138
334,12
335,300
336,98
337,31
338,284
339,28
340,100
341,76
342,70
343,64
344,68
345,87
346,27
347,76
348,15
349,37
350,20
351,108
352,62
353,32
354,75
355,184
356,43
357,43
358,17
359,24
360,48
361,78
362,31
363,52
364,76
365,36
366,158
367,88
368,140
369,72
370,67
371,31
372,4
373,45
374,159
375,104
376,73
377,76
378,51
379,50
380,23
381,39
382,51
383,58
384,68
385,39
386,22
387,89
388,65
389,117
390,39
391,22
392,56
393,221
394,35
395,49
396,44
397,78
398,84
399,273
400,30
401,124
402,75
403,40
404,36
405,155
406,68
407,85
408,44
409,30
410,92
411,32
412,142
413,77
414,59
415,64
416,37
417,188
418,47
419,118
420,55
421,68
422,73
423,24
424,119
425,108
426,27
427,12
428,60
429,7
430,30
431,100
432,28
433,79
434,51
435,42
436,88
437,154
438,87
439,31
440,48
441,32
442,63
443,82
444,47
445,51
446,211
447,19
448,77
449,38
450,56
451,76
452,10
453,68
454,63
455,61
456,170
457,38
458,55
459,44
460,57
461,192
462,109
463,151
464,83
465,69
466,32
467,52
468,39
469,103
470,33
471,72
472,77
473,37
474,32
475,160
476,214
477,34
478,26
479,94
480,150
481,33
482,55
483,32
484,42
485,25
486,139
487,51
488,21
489,50
490,27
491,33
492,35
493,105
494,88
495,73
496,35
497,44
498,64
499,125
500,14
501,76
502,54
503,54
504,45
505,38
506,37
507,181
508,72
509,36
510,20
511,40
512,92
513,20
514,47
515,69
516,15
517,12
518,172
519,14
520,34
521,63
522,72
523,62
524,133
525,149
526,72
527,54
528,5
529,124
530,160
531,66
532,111
533,51
534,43
535,72
536,70
537,39
538,82
539,32
540,12
541,74
542,12
543,77
544,82
545,52
546,73
547,160
548,38
549,19
550,48
551,113
552,85
553,6
554,190
555,102
556,64
557,49
558,61
559,62
560,67
561,4
562,125
563,47
564,4
565,282
566,64
567,84
568,20
569,58
570,108
571,30
572,98
573,34
574,94
